2026/06/16 08:35更新,#genre#
茂名综合频道,http://113.119.24.33:58888/udp/239.77.0.206:5146
茂名文化生活,http://113.119.24.33:58888/udp/239.77.0.207:5146
汕头综合频道,http://113.119.24.33:58888/udp/239.253.43.45:5146
汕头经济生活,http://113.119.24.33:58888/udp/239.253.43.46:5146
中山综合频道,http://113.119.24.33:58888/udp/239.253.43.62:5146
香山文化频道,http://113.119.24.33:58888/udp/239.253.43.63:5146
☘️河南省,#genre#
河南民生频道,http://1.192.241.97:8188/rtp/239.16.20.165:11650
河南法治频道,http://1.192.241.97:8188/rtp/239.16.10.122:2000
河南电视剧频道,http://1.192.241.97:8188/rtp/239.16.20.167:11670
河南新闻频道,http://1.192.241.97:8188/rtp/239.16.20.168:11680
河南公共频道,http://219.156.95.119:4022/rtp/225.1.4.58:1087
河南乡村频道,http://1.192.241.97:8188/rtp/239.16.20.195:11950
河南收藏天下,http://1.192.241.97:8188/rtp/239.16.10.149:2000
河南戏曲频道,http://1.192.241.97:8188/rtp/239.16.20.171:11710
河南中华功夫,http://1.192.241.97:8188/rtp/239.16.20.173:11730
河南移动电视,http://1.192.241.97:8188/rtp/239.16.20.204:12040
